Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision
x7405a,male,28,Belgian,Rugby,64,FALSE,TRUE,TRUE,FALSE,0,TRUE,master,A,FALSE
x6099d,female,26,Dutch,Swimming,60,FALSE,FALSE,FALSE,FALSE,0,FALSE,bachelor,A,FALSE
x2840a,male,28,Dutch,Football,65,FALSE,FALSE,FALSE,FALSE,1,TRUE,master,A,TRUE
x5308g,female,28,Dutch,Swimming,59,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x8899g,female,27,German,Chess,63,FALSE,FALSE,TRUE,FALSE,1,FALSE,master,A,TRUE
x1321e,female,28,Dutch,Football,67,FALSE,TRUE,FALSE,FALSE,2,TRUE,bachelor,A,TRUE
x3011g,male,26,Dutch,Football,57,TRUE,FALSE,FALSE,TRUE,3,FALSE,master,A,TRUE
x2249f,male,29,Dutch,Football,58,TRUE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,FALSE
x2999e,male,24,Dutch,Football,55,TRUE,FALSE,FALSE,TRUE,3,FALSE,phd,A,TRUE
x4107e,female,26,Dutch,Swimming,74,TRUE,TRUE,FALSE,TRUE,2,TRUE,master,A,FALSE
x9542g,male,26,Dutch,Swimming,69,FALSE,TRUE,TRUE,FALSE,1,TRUE,master,A,FALSE
x5134e,male,28,Dutch,Football,62,TRUE,FALSE,FALSE,TRUE,2,FALSE,master,A,TRUE
x6281a,male,25,German,Football,52,FALSE,FALSE,FALSE,FALSE,1,FALSE,master,A,FALSE
x8524b,female,32,German,Cricket,59,FALSE,FALSE,FALSE,FALSE,1,FALSE,master,A,TRUE
x6524a,female,32,Dutch,Football,58,FALSE,FALSE,TRUE,FALSE,0,FALSE,master,A,FALSE
x1791e,female,29,German,Golf,57,FALSE,FALSE,FALSE,FALSE,0,FALSE,bachelor,A,FALSE
x3972b,male,25,Belgian,Swimming,51,TRUE,FALSE,FALSE,TRUE,2,FALSE,master,A,FALSE
x2923f,male,29,Dutch,Rugby,63,TRUE,FALSE,FALSE,TRUE,3,FALSE,master,A,TRUE
x7200f,male,32,Dutch,Rugby,68,FALSE,FALSE,FALSE,FALSE,1,TRUE,master,A,TRUE
x4574f,male,29,Dutch,Football,58,TRUE,FALSE,TRUE,TRUE,2,FALSE,master,A,TRUE
x6651a,male,26,Dutch,Football,57,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,FALSE
x4098d,male,21,Dutch,Swimming,63,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x4957d,female,27,Belgian,Swimming,65,FALSE,FALSE,FALSE,FALSE,1,FALSE,master,A,TRUE
x6161a,female,24,Dutch,Swimming,57,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x1857b,female,27,Dutch,Chess,71,FALSE,TRUE,FALSE,FALSE,0,TRUE,phd,A,FALSE
x1617a,male,29,Dutch,Rugby,57,TRUE,FALSE,FALSE,FALSE,2,FALSE,master,A,TRUE
x7767d,male,23,Belgian,Tennis,67,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x1606b,female,25,Belgian,Chess,64,FALSE,FALSE,TRUE,FALSE,0,TRUE,master,A,FALSE
x1895e,female,28,German,Swimming,66,FALSE,TRUE,FALSE,FALSE,0,TRUE,phd,A,FALSE
x9841b,male,27,Dutch,Rugby,54,FALSE,FALSE,FALSE,TRUE,3,FALSE,bachelor,A,FALSE
x8103d,female,23,Dutch,Tennis,74,TRUE,TRUE,FALSE,TRUE,2,TRUE,bachelor,A,FALSE
x5524c,female,27,Dutch,Running,72,FALSE,TRUE,TRUE,FALSE,0,TRUE,phd,A,FALSE
x2176e,male,28,Dutch,Cricket,57,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x3503g,male,26,Dutch,Golf,63,FALSE,FALSE,TRUE,FALSE,2,FALSE,phd,A,TRUE
x9941d,male,26,Dutch,Rugby,56,FALSE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,TRUE
x5817b,female,27,Dutch,Football,61,FALSE,FALSE,FALSE,TRUE,2,FALSE,bachelor,A,FALSE
x4487d,male,28,Dutch,Tennis,62,FALSE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,TRUE
x6608c,female,28,Dutch,Chess,60,FALSE,TRUE,FALSE,FALSE,0,TRUE,bachelor,A,FALSE
x9988g,female,21,Dutch,Running,74,FALSE,TRUE,FALSE,FALSE,2,TRUE,master,A,TRUE
x6920d,male,23,Dutch,Tennis,56,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,FALSE
x3747b,female,25,Dutch,Swimming,68,FALSE,FALSE,FALSE,FALSE,1,TRUE,master,A,FALSE
x5891c,male,28,Dutch,Rugby,59,FALSE,FALSE,TRUE,FALSE,1,FALSE,master,A,FALSE
x1669g,female,22,Dutch,Running,64,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x1892e,male,30,Dutch,Tennis,58,TRUE,FALSE,FALSE,TRUE,2,FALSE,master,A,TRUE
x4137f,male,26,Dutch,Tennis,68,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x9880e,female,26,Belgian,Chess,74,FALSE,TRUE,TRUE,FALSE,1,TRUE,phd,A,FALSE
x8005e,male,32,Dutch,Golf,60,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x1651e,male,22,Dutch,Cricket,67,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,FALSE
x9834a,male,25,Dutch,Running,63,FALSE,FALSE,FALSE,FALSE,1,TRUE,master,A,FALSE
x4159a,male,25,Dutch,Football,56,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,FALSE
x4643e,male,28,German,Football,67,FALSE,FALSE,TRUE,FALSE,0,TRUE,master,A,FALSE
x5958a,female,21,Dutch,Swimming,70,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,TRUE
x6477e,female,28,Dutch,Chess,71,FALSE,TRUE,FALSE,FALSE,2,TRUE,master,A,FALSE
x1198b,female,26,Dutch,Chess,69,FALSE,FALSE,FALSE,FALSE,1,TRUE,master,A,TRUE
x4927e,male,24,Dutch,Football,55,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x7795g,female,21,Dutch,Chess,65,FALSE,FALSE,FALSE,FALSE,1,TRUE,master,A,TRUE
x8706d,male,26,Dutch,Chess,63,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,TRUE
x5960b,male,32,Dutch,Rugby,64,FALSE,FALSE,FALSE,TRUE,1,FALSE,bachelor,A,TRUE
x8519g,male,27,Dutch,Football,69,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,FALSE
x4722f,other,27,Dutch,Rugby,57,TRUE,FALSE,FALSE,TRUE,2,FALSE,phd,A,TRUE
x7636c,female,22,German,Golf,63,TRUE,FALSE,FALSE,TRUE,2,TRUE,bachelor,A,FALSE
x3506f,female,27,Dutch,Chess,64,FALSE,TRUE,FALSE,FALSE,0,TRUE,master,A,FALSE
x5663f,male,28,Dutch,Tennis,58,TRUE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,FALSE
x8454d,female,28,Dutch,Football,61,TRUE,TRUE,FALSE,TRUE,2,FALSE,bachelor,A,FALSE
x6328c,male,22,Dutch,Tennis,60,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x7366b,male,28,German,Football,62,FALSE,FALSE,FALSE,TRUE,2,FALSE,bachelor,A,TRUE
x6359c,male,28,Dutch,Football,49,TRUE,FALSE,FALSE,TRUE,2,FALSE,bachelor,A,FALSE
x4693g,female,25,Dutch,Chess,70,FALSE,TRUE,TRUE,FALSE,2,TRUE,master,A,TRUE
x4029e,female,22,Dutch,Swimming,58,FALSE,FALSE,FALSE,FALSE,0,FALSE,bachelor,A,FALSE
x7084d,female,24,Dutch,Swimming,70,TRUE,FALSE,FALSE,TRUE,2,TRUE,master,A,TRUE
x8494b,female,29,Dutch,Rugby,56,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,FALSE
x2194f,male,24,Dutch,Football,59,TRUE,FALSE,FALSE,TRUE,3,FALSE,bachelor,A,TRUE
x1831a,female,26,Dutch,Cricket,53,FALSE,FALSE,TRUE,FALSE,0,FALSE,bachelor,A,FALSE
x9885g,male,30,Dutch,Cricket,68,FALSE,FALSE,TRUE,FALSE,1,TRUE,master,A,FALSE
x6193d,male,30,Dutch,Football,57,FALSE,FALSE,FALSE,FALSE,2,FALSE,master,A,TRUE
x5043b,male,31,Belgian,Cricket,60,FALSE,FALSE,TRUE,FALSE,0,FALSE,master,A,FALSE
x1276g,male,27,Dutch,Rugby,55,TRUE,FALSE,FALSE,TRUE,2,FALSE,master,A,TRUE
x1977b,male,28,Dutch,Swimming,64,FALSE,FALSE,TRUE,FALSE,0,TRUE,master,A,FALSE
x2734d,male,25,Belgian,Football,57,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x3188e,male,26,Dutch,Swimming,62,TRUE,FALSE,FALSE,FALSE,2,TRUE,bachelor,A,TRUE
x6221c,female,26,German,Football,74,FALSE,TRUE,FALSE,FALSE,2,TRUE,master,A,FALSE
x5880f,male,21,Dutch,Tennis,69,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,FALSE
x5560a,female,27,Dutch,Rugby,66,TRUE,FALSE,TRUE,FALSE,2,TRUE,master,A,TRUE
x2514f,female,25,Dutch,Chess,62,FALSE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,TRUE
x9986g,male,30,Dutch,Rugby,52,TRUE,FALSE,FALSE,TRUE,3,FALSE,bachelor,A,FALSE
x1248d,male,29,Dutch,Cricket,65,FALSE,TRUE,FALSE,FALSE,1,FALSE,master,A,FALSE
x6224c,male,30,Dutch,Rugby,56,TRUE,FALSE,FALSE,TRUE,2,FALSE,bachelor,A,TRUE
x4334b,female,26,Dutch,Running,65,FALSE,FALSE,FALSE,FALSE,0,TRUE,master,A,FALSE
x4411f,male,26,Belgian,Football,58,TRUE,FALSE,FALSE,TRUE,3,FALSE,bachelor,A,FALSE
x3931f,female,23,Dutch,Cricket,58,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x6800d,male,30,Dutch,Football,52,FALSE,FALSE,FALSE,FALSE,2,FALSE,master,A,FALSE
x5492f,male,25,Dutch,Tennis,62,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x7312g,female,29,Dutch,Cricket,57,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x3750e,female,21,Dutch,Tennis,65,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x4509b,male,26,Dutch,Golf,60,FALSE,FALSE,FALSE,FALSE,0,TRUE,master,A,FALSE
x3879e,male,29,Dutch,Tennis,66,TRUE,FALSE,FALSE,FALSE,2,FALSE,master,A,TRUE
x8968a,male,28,Belgian,Tennis,70,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x3767a,female,27,Dutch,Golf,66,TRUE,TRUE,FALSE,TRUE,2,TRUE,bachelor,A,FALSE
x2789f,male,24,German,Football,59,FALSE,FALSE,TRUE,FALSE,2,FALSE,master,A,TRUE
x4788b,female,28,German,Golf,63,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x5613g,male,25,Dutch,Running,68,FALSE,TRUE,TRUE,FALSE,1,TRUE,master,A,FALSE
x5635d,male,28,Dutch,Running,62,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,TRUE
x5523f,male,26,Belgian,Tennis,69,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,TRUE
x4485c,female,26,Dutch,Chess,75,FALSE,TRUE,TRUE,FALSE,1,TRUE,phd,A,TRUE
x5579c,male,27,Dutch,Cricket,67,FALSE,FALSE,TRUE,TRUE,1,FALSE,master,A,TRUE
x8983a,female,24,Dutch,Football,64,FALSE,FALSE,FALSE,FALSE,2,TRUE,bachelor,A,TRUE
x3147e,male,28,Dutch,Football,48,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,FALSE
x1237d,female,21,Dutch,Chess,67,FALSE,TRUE,FALSE,FALSE,0,TRUE,master,A,FALSE
x3389d,other,24,Dutch,Chess,70,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,TRUE
x5962b,male,27,German,Tennis,68,TRUE,TRUE,FALSE,TRUE,2,TRUE,bachelor,A,FALSE
x6908c,male,28,Dutch,Football,65,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x1554e,female,27,Dutch,Swimming,65,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,TRUE
x1455g,female,23,Dutch,Swimming,57,FALSE,FALSE,FALSE,FALSE,0,FALSE,bachelor,A,FALSE
x2679c,male,31,Dutch,Rugby,67,FALSE,FALSE,FALSE,FALSE,1,TRUE,master,A,FALSE
x5585b,male,23,Dutch,Swimming,61,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x9625e,female,27,Dutch,Chess,66,FALSE,TRUE,FALSE,FALSE,0,TRUE,bachelor,A,FALSE
x6967f,male,29,German,Rugby,59,FALSE,FALSE,TRUE,FALSE,1,FALSE,bachelor,A,FALSE
x3876e,male,30,Dutch,Rugby,58,FALSE,FALSE,TRUE,FALSE,1,FALSE,master,A,TRUE
x8809d,female,26,German,Chess,67,FALSE,TRUE,TRUE,FALSE,0,TRUE,master,A,FALSE
x9001d,male,32,Belgian,Cricket,58,FALSE,FALSE,TRUE,FALSE,0,FALSE,master,A,FALSE
x8509e,male,32,Dutch,Rugby,63,FALSE,FALSE,TRUE,FALSE,2,TRUE,master,A,TRUE
x9517a,female,30,Dutch,Football,65,FALSE,FALSE,FALSE,FALSE,0,TRUE,master,A,FALSE
x8457e,female,25,Dutch,Golf,61,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x6305f,female,26,Dutch,Chess,65,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,TRUE
x2898d,male,25,Dutch,Rugby,55,FALSE,FALSE,FALSE,FALSE,1,FALSE,master,A,TRUE
x5136b,male,31,Dutch,Golf,62,FALSE,FALSE,TRUE,FALSE,1,FALSE,phd,A,TRUE
x1474e,female,27,Dutch,Cricket,59,FALSE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,TRUE
x1476d,male,29,Dutch,Rugby,57,FALSE,FALSE,TRUE,FALSE,0,FALSE,master,A,FALSE
x3107b,female,21,Dutch,Swimming,61,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,FALSE
x2452f,female,24,Dutch,Swimming,62,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,TRUE
x8552d,female,26,Dutch,Football,60,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x6033c,male,22,Belgian,Tennis,71,TRUE,TRUE,FALSE,FALSE,2,TRUE,master,A,TRUE
x3221b,male,27,Dutch,Tennis,65,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x9884f,male,29,Dutch,Golf,69,FALSE,FALSE,TRUE,FALSE,1,TRUE,phd,A,TRUE
x2278g,female,30,Dutch,Cricket,54,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,FALSE
x2968e,female,21,Dutch,Swimming,59,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x9040c,male,22,Dutch,Football,62,FALSE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,FALSE
x7508f,male,24,German,Swimming,71,TRUE,TRUE,FALSE,FALSE,2,TRUE,bachelor,A,FALSE
x9942d,male,25,Belgian,Rugby,63,FALSE,TRUE,FALSE,FALSE,2,FALSE,bachelor,A,TRUE
x7781b,male,27,Belgian,Cricket,55,FALSE,FALSE,TRUE,FALSE,0,FALSE,master,A,FALSE
x5251b,female,22,Dutch,Running,65,FALSE,TRUE,FALSE,FALSE,0,TRUE,bachelor,A,FALSE
x9572c,female,27,Dutch,Running,67,FALSE,FALSE,TRUE,FALSE,0,TRUE,master,A,FALSE
x4459e,male,28,Belgian,Cricket,64,TRUE,FALSE,FALSE,FALSE,2,TRUE,bachelor,A,TRUE
x4143e,male,25,Dutch,Golf,61,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x3720f,female,25,Dutch,Swimming,67,FALSE,TRUE,FALSE,FALSE,0,TRUE,master,A,FALSE
x6099a,female,25,Dutch,Swimming,70,FALSE,TRUE,TRUE,FALSE,1,TRUE,master,A,TRUE
x8264e,female,23,German,Tennis,64,FALSE,FALSE,FALSE,TRUE,2,FALSE,master,A,TRUE
x7389e,male,25,Dutch,Tennis,60,TRUE,FALSE,FALSE,TRUE,2,FALSE,bachelor,A,FALSE
x8201d,male,27,Dutch,Football,68,TRUE,TRUE,FALSE,FALSE,2,TRUE,bachelor,A,FALSE
x3555c,male,26,Dutch,Football,51,TRUE,FALSE,FALSE,TRUE,3,FALSE,bachelor,A,FALSE
x9998f,male,24,Dutch,Tennis,72,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,FALSE
x8815c,female,26,Dutch,Chess,60,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x7989d,male,24,Dutch,Football,70,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,TRUE
x6759g,female,25,Dutch,Chess,71,FALSE,TRUE,TRUE,FALSE,0,TRUE,phd,A,FALSE
x6839c,female,27,Dutch,Chess,59,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x1065g,female,28,Dutch,Golf,64,FALSE,FALSE,FALSE,FALSE,1,TRUE,master,A,FALSE
x5807e,female,24,Dutch,Chess,65,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x8707b,female,30,Dutch,Football,53,FALSE,FALSE,FALSE,FALSE,2,FALSE,master,A,FALSE
x2216g,female,30,Belgian,Swimming,54,TRUE,FALSE,FALSE,TRUE,2,FALSE,bachelor,A,FALSE
x1289g,female,27,Dutch,Football,70,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,FALSE
x5687d,male,24,Dutch,Swimming,66,TRUE,TRUE,FALSE,TRUE,2,TRUE,bachelor,A,FALSE
x2860f,female,28,Dutch,Chess,69,FALSE,TRUE,FALSE,FALSE,0,TRUE,master,A,FALSE
x4612a,male,24,Dutch,Rugby,51,FALSE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,FALSE
x4278d,male,27,Belgian,Football,63,TRUE,FALSE,FALSE,TRUE,3,FALSE,bachelor,A,FALSE
x8852d,male,25,German,Football,70,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,FALSE
x1458a,male,27,Belgian,Running,63,FALSE,TRUE,TRUE,FALSE,0,TRUE,master,A,FALSE
x6688c,female,24,Dutch,Running,58,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x6516g,female,28,Dutch,Football,60,TRUE,FALSE,FALSE,TRUE,2,FALSE,master,A,TRUE
x3550a,male,24,Dutch,Football,65,TRUE,FALSE,FALSE,TRUE,3,FALSE,bachelor,A,TRUE
x3130d,male,23,Dutch,Football,66,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x3904a,male,28,German,Football,54,TRUE,FALSE,FALSE,FALSE,3,FALSE,bachelor,A,FALSE
x3577g,female,21,Dutch,Tennis,57,FALSE,FALSE,FALSE,FALSE,2,FALSE,bachelor,A,FALSE
x8344d,male,24,Dutch,Rugby,60,TRUE,FALSE,FALSE,FALSE,2,FALSE,master,A,TRUE
x8757e,male,30,Belgian,Golf,58,FALSE,FALSE,TRUE,FALSE,0,FALSE,master,A,FALSE
x9562b,male,24,German,Swimming,67,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x1771d,male,29,Dutch,Rugby,63,TRUE,FALSE,FALSE,TRUE,2,FALSE,bachelor,A,TRUE
x3636a,female,27,Dutch,Running,64,FALSE,FALSE,FALSE,FALSE,0,TRUE,master,A,FALSE
x9127e,female,24,Dutch,Running,67,TRUE,TRUE,FALSE,TRUE,2,TRUE,master,A,TRUE
x6872a,male,26,Dutch,Football,64,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x5217d,other,29,Dutch,Swimming,59,FALSE,FALSE,FALSE,TRUE,2,TRUE,bachelor,A,FALSE
x4301e,female,21,Dutch,Tennis,72,FALSE,TRUE,FALSE,FALSE,1,TRUE,master,A,TRUE
x3039a,other,25,Dutch,Swimming,69,FALSE,TRUE,TRUE,FALSE,0,TRUE,master,A,FALSE
x1850f,female,30,Dutch,Rugby,56,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x6314g,male,24,Dutch,Football,67,TRUE,FALSE,FALSE,FALSE,2,FALSE,master,A,TRUE
x3179f,female,23,Dutch,Swimming,59,FALSE,FALSE,FALSE,FALSE,1,FALSE,bachelor,A,TRUE
x6121g,male,24,Dutch,Football,52,FALSE,FALSE,FALSE,TRUE,2,FALSE,master,A,FALSE
x8535f,male,24,Dutch,Rugby,56,FALSE,FALSE,FALSE,FALSE,1,FALSE,master,A,TRUE
x6427e,female,22,Dutch,Tennis,66,FALSE,TRUE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x3049g,male,26,Dutch,Football,64,TRUE,FALSE,FALSE,TRUE,2,FALSE,master,A,TRUE
x8731g,male,26,Dutch,Tennis,61,TRUE,FALSE,FALSE,TRUE,3,FALSE,bachelor,A,TRUE
x6263g,male,28,Dutch,Cricket,61,FALSE,FALSE,TRUE,FALSE,1,FALSE,master,A,FALSE
x6095g,female,32,Dutch,Cricket,59,FALSE,FALSE,FALSE,FALSE,0,TRUE,bachelor,A,FALSE
x5517d,female,23,Dutch,Tennis,66,FALSE,FALSE,FALSE,FALSE,1,TRUE,bachelor,A,FALSE
x6290f,male,29,Dutch,Football,53,FALSE,FALSE,FALSE,FALSE,1,FALSE,master,A,FALSE
x7357d,male,29,Dutch,Golf,59,FALSE,FALSE,TRUE,FALSE,0,FALSE,bachelor,A,FALSE
